config_id,dataset,imbalance_method,method_family,classifier,minority_ratio,seed,precision,recall,f1,mcc,balanced_accuracy,accuracy,roc_auc,pr_auc,tn,fp,fn,tp,cv_best_score,best_params,runtime_sec,train_size,test_size,train_phishing,test_phishing,train_phishing_pct,test_phishing_pct
uci__smote__random_forest__r10__s42,uci,smote,Data-level (synthetic),random_forest,0.1,42,0.9826086956521739,0.8248175182481752,0.8968253968253969,0.8905744269677985,0.9115970708123993,0.9810080350620891,0.9836980993459096,0.957219468141911,1230,2,24,113,0.916,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 300}",10.5,5472,1369,547,137,10.0,10.01
uci__smote__svm__r10__s42,uci,smote,Data-level (synthetic),svm,0.1,42,0.8976377952755905,0.8321167883211679,0.8636363636363636,0.8498549806799487,0.91078242013461,0.9737034331628927,0.9730809792397384,0.9115929152607289,1219,13,23,114,0.8705,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",3.8,5472,1369,547,137,10.0,10.01
uci__adasyn__decision_tree__r10__s42,uci,adasyn,Data-level (synthetic),decision_tree,0.1,42,0.959349593495935,0.8613138686131386,0.9076923076923077,0.8996307754926266,0.9286277135273485,0.9824689554419284,0.9352100910038866,0.8519406082035555,1227,5,19,118,0.9033,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",1.4,5472,1369,547,137,10.0,10.01
uci__adasyn__random_forest__r10__s42,uci,adasyn,Data-level (synthetic),random_forest,0.1,42,0.9745762711864406,0.8394160583941606,0.9019607843137254,0.8949763826194399,0.9184904967295477,0.9817384952520087,0.9836832875154042,0.9544647243383189,1229,3,22,115,0.9152,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",10.4,5472,1369,547,137,10.0,10.01
uci__adasyn__svm__r10__s42,uci,adasyn,Data-level (synthetic),svm,0.1,42,0.8248175182481752,0.8248175182481752,0.8248175182481752,0.8053369987676557,0.9026684993838279,0.9649379108838568,0.9687203763389894,0.8947196064231597,1208,24,24,113,0.8611,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",4.4,5472,1369,547,137,10.0,10.01
uci__smoteenn__decision_tree__r10__s42,uci,smoteenn,Hybrid,decision_tree,0.1,42,0.8175675675675675,0.8832116788321168,0.8491228070175438,0.8323949288408122,0.9306480472082662,0.9685902118334551,0.9306480472082662,0.7337725869487559,1205,27,16,121,0.8631,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_split"": 2}",5.5,5472,1369,547,137,10.0,10.01
uci__smoteenn__random_forest__r10__s42,uci,smoteenn,Hybrid,random_forest,0.1,42,0.8467153284671532,0.8467153284671532,0.8467153284671532,0.8296698739216988,0.9148349369608493,0.9693206720233747,0.9785317328656744,0.9243471668021193,1211,21,21,116,0.8817,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",12.9,5472,1369,547,137,10.0,10.01
uci__smoteenn__svm__r10__s42,uci,smoteenn,Hybrid,svm,0.1,42,0.8066666666666666,0.8832116788321168,0.8432055749128919,0.8259453253684856,0.9298363588965779,0.9671292914536158,0.9799892169873923,0.894326468852542,1203,29,16,121,0.8314,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",4.5,5472,1369,547,137,10.0,10.01
uci__smotetomek__decision_tree__r10__s42,uci,smotetomek,Hybrid,decision_tree,0.1,42,0.9914529914529915,0.8467153284671532,0.9133858267716537,0.9080116821527344,0.9229518200777325,0.9839298758217677,0.9294867996966537,0.8669772487392229,1231,1,21,116,0.9042,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",5.5,5472,1369,547,137,10.0,10.01
uci__smotetomek__random_forest__r10__s42,uci,smotetomek,Hybrid,random_forest,0.1,42,0.9826086956521739,0.8248175182481752,0.8968253968253969,0.8905744269677985,0.9115970708123993,0.9810080350620891,0.9842194757796948,0.9562005658654111,1230,2,24,113,0.9133,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",12.6,5472,1369,547,137,10.0,10.01
