feature,mean_abs_shap,mean_shap,rank,imbalance_method
qty_and_url,0.00022336911047430444,-3.906356875437125e-05,75,smote
qty_at_url,0.00013248631029683978,-0.0001100183324562147,76,smote
qty_exclamation_url,0.0001171766145471203,-5.323341115646986e-05,77,smote
url_google_index,0.00011144820873578259,-7.311413496113652e-05,78,smote
domain_in_ip,0.00011123778925355886,-0.00011123778925355886,79,smote
email_in_url,6.38345488520842e-05,-2.640615547057671e-05,80,smote
domain_google_index,4.093308239815137e-05,-5.199597490153119e-07,81,smote
server_client_domain,3.7843480619229565e-05,2.901145752217916e-05,82,smote
qty_comma_url,3.516290560663117e-05,3.279359250592639e-05,83,smote
qty_plus_url,2.5821593015468222e-05,2.3182061099696235e-05,84,smote
qty_questionmark_url,1.9649153284676738e-05,-1.6173329419455648e-05,85,smote
qty_tilde_url,1.4014141340616335e-05,-7.111382618603562e-06,86,smote
qty_asterisk_url,1.012462194403793e-05,-1.012462194403793e-05,87,smote
qty_dollar_url,6.063169211569245e-06,-6.063169211569245e-06,88,smote
qty_hashtag_url,3.007230489550122e-06,-3.007230489550122e-06,89,smote
qty_underline_domain,2.9809975362318883e-06,1.326086304081264e-06,90,smote
qty_at_domain,1.2886890650167313e-06,-1.2886890650167313e-06,91,smote
qty_space_url,3.205883991976815e-07,-3.205883991976815e-07,92,smote
time_domain_activation,0.06118093653281809,-0.029567847034543685,1,random_undersampling
length_url,0.03679204404199356,-0.005302132762955927,2,random_undersampling
directory_length,0.03602757896466153,-0.017880835629853743,3,random_undersampling
qty_slash_url,0.027851640757284853,-0.011297621473661866,4,random_undersampling
qty_slash_directory,0.02465217748468393,-0.011471375754381357,5,random_undersampling
qty_dot_domain,0.02280986432139756,-0.006402169791867935,6,random_undersampling
qty_at_directory,0.01338028075153902,-0.0009203735306740397,7,random_undersampling
qty_asterisk_directory,0.012714065150550737,-0.0008206321454857408,8,random_undersampling
time_domain_expiration,0.012680882144098429,-0.006754458786150624,9,random_undersampling
qty_underline_file,0.012671618363658228,-0.0008338906651541766,10,random_undersampling
qty_underline_directory,0.012657241818102767,-0.0009992018152600271,11,random_undersampling
qty_and_file,0.012494393496758384,-0.0006108125319848885,12,random_undersampling
ttl_hostname,0.012236810923367447,-0.0006620132448642934,13,random_undersampling
qty_and_directory,0.011640751201915782,-0.0008392197165496075,14,random_undersampling
qty_exclamation_directory,0.011576895466537038,-0.0005515122554567302,15,random_undersampling
qty_exclamation_file,0.01151735940692855,-0.000850203851847736,16,random_undersampling
qty_comma_directory,0.011414105634977056,-0.0007805926894515,17,random_undersampling
file_length,0.011267013456226523,-0.004950036076880702,18,random_undersampling
qty_percent_directory,0.011196272842730068,-0.0009925082174051909,19,random_undersampling
qty_questionmark_directory,0.010575163736992528,-0.0005271987134076847,20,random_undersampling
qty_dot_file,0.010516885187930433,-0.003915804238687683,21,random_undersampling
qty_dot_url,0.0105063277678237,-0.001678928939653535,22,random_undersampling
qty_comma_file,0.010436065412360595,-0.0005033049026427518,23,random_undersampling
qty_tilde_directory,0.009724443798063608,-0.00045800767124254535,24,random_undersampling
qty_hyphen_directory,0.009551015151896068,-0.0004865156381933022,25,random_undersampling
qty_equal_directory,0.009498938705744002,-0.0006384927139066486,26,random_undersampling
qty_space_directory,0.008755691094789438,-0.00039870927124762453,27,random_undersampling
qty_dot_directory,0.008286913840609136,-0.0049345155471254955,28,random_undersampling
asn_ip,0.008145977991365995,-0.0010120888163605032,29,random_undersampling
qty_plus_directory,0.007815235591073156,-0.0003337063970873336,30,random_undersampling
qty_percent_file,0.007602710346610405,-0.0004570564025469357,31,random_undersampling
qty_mx_servers,0.007579002690141401,-0.002618183715971875,32,random_undersampling
qty_equal_file,0.007484237889194958,-0.0004490325655407241,33,random_undersampling
qty_dollar_directory,0.00684991960287363,-0.0004451049957767475,34,random_undersampling
qty_hyphen_file,0.006772348025890945,-0.00012097695352680927,35,random_undersampling
qty_at_file,0.006736502676392749,-0.00036340217262593766,36,random_undersampling
qty_space_file,0.005980115742830207,-0.0006507873488128682,37,random_undersampling
qty_ip_resolved,0.005901348858462257,-0.00027759927271560196,38,random_undersampling
qty_hyphen_url,0.005888505933327368,0.00028990974400089,39,random_undersampling
time_response,0.005793143141536778,-0.0006164323531195735,40,random_undersampling
domain_length,0.005651819980414521,-0.001809839369535242,41,random_undersampling
qty_vowels_domain,0.005460905514171489,-0.0004764094425374661,42,random_undersampling
